iata,count
Unknown,1585
HGU,1
LAE,1
POM,1
WWK,1
UAK,1
TJB,1
YAY,1
GKA,1
SFJ,1
THU,1
AEY,1
EGS,1
HFN,1
HZK,1
IFJ,1
KEF,1
PFJ,1
RKV,1
SIJ,1
VEY,1
YAM,1
NAU,1
YAZ,1
YBB,1
YBC,1
YBG,1
YBK,1
YBL,1
YBR,1
YCB,1
YCD,1
YCG,1
YCH,1
YCL,1
YCO,1
YCT,1
YCW,1
YCY,1
YZS,1
YDA,1
YDB,1
YDF,1
YDL,1
YDN,1
YDQ,1
YEG,1
YEK,1
YEN,1
YET,1
YEU,1
YEV,1
YFB,1
YFC,1
YFE,1
YFO,1
YFR,1
YFS,1
YGK,1
YGL,1
YGP,1
YGQ,1
YGR,1
YHB,1
YHD,1
YHI,1
YHK,1
YHM,1
YHU,1
YHY,1
YHZ,1
YIB,1
YIO,1
YJN,1
YJT,1
YKA,1
YKF,1
YKL,1
YKY,1
YKZ,1
YLD,1
YLJ,1
YLL,1
YLT,1
YLW,1
YMA,1
YMJ,1
YMM,1
YMO,1
YMW,1
YMX,1
YNA,1
YND,1
YNM,1
YOC,1
YOD,1
YOJ,1
YOW,1
YPA,1
YPE,1
YPG,1
YPL,1
YPN,1
YPQ,1
YPR,1
YPY,1
YQA,1
YQB,1
YQF,1
YQG,1
YQH,1
YQK,1
YQL,1
YQM,1
YQQ,1
YQR,1
YQT,1
YQU,1
YQV,1
YQW,1
YQX,1
YQY,1
YQZ,1
YRB,1
YRI,1
YRJ,1
YRM,1
YRT,1
YSB,1
YSC,1
YSJ,1
YSM,1
YSR,1
YSU,1
YSY,1
YTE,1
YTH,1
YTR,1
YTS,1
YTZ,1
YUB,1
YUL,1
YUT,1
YUX,1
YUY,1
YVC,1
YVG,1
YVM,1
YVO,1
YVP,1
YVQ,1
YVR,1
YVT,1
YVV,1
YWA,1
YWG,1
YWK,1
YWL,1
YWY,1
YXC,1
YXD,1
YXE,1
YXH,1
YXJ,1
YXL,1
YXP,1
YXR,1
YXS,1
YXT,1
YXU,1
YXX,1
YXY,1
YYB,1
YYC,1
YYD,1
YYE,1
YYF,1
YYG,1
YYH,1
YYJ,1
YYL,1
YYN,1
YYQ,1
YYR,1
YYT,1
YYU,1
YYW,1
YYY,1
YYZ,1
YZD,1
YZE,1
YZF,1
YZH,1
YZP,1
YZR,1
YZT,1
YZU,1
YZV,1
YZW,1
YZX,1
ZFA,1
ZFM,1
QLD,1
BUJ,1
BJA,1
ALG,1
DJG,1
VVZ,1
TMR,1
GJL,1
MZW,1
AAE,1
CZL,1
TEE,1
HRM,1
TID,1
TIN,1
CFK,1
TAF,1
TLM,1
ORN,1
BFW,1
MUW,1
AZR,1
BSK,1
ELG,1
GHA,1
HME,1
INZ,1
TGR,1
LOO,1
TMX,1
OGX,1
IAM,1
COO,1
OUA,1
BOY,1
ACC,1
TML,1
NYI,1
TKD,1
ABJ,1
BYK,1
DJO,1
HGO,1
MJC,1
SPY,1
ASK,1
ABV,1
AKR,1
BNI,1
CBQ,1
ENU,1
IBA,1
ILR,1
JOS,1
KAD,1
KAN,1
MIU,1
MDI,1
LOS,1
MXJ,1
PHC,1
SKO,1
YOL,1
ZAR,1
MFQ,1
NIM,1
THZ,1
AJY,1
ZND,1
MIR,1
TUN,1
GAF,1
GAE,1
DJE,1
EBM,1
SFA,1
TOE,1
LRL,1
LFW,1
ANR,1
BRU,1
CRL,1
KJK,1
LGG,1
OST,1
OBL,1
AOC,1
IES,1
REB,1
QXH,1
BBH,1
ZMG,1
CBU,1
SXF,1
DRS,1
ERF,1
FRA,1
FMO,1
HAM,1
THF,1
CGN,1
DUS,1
MUC,1
NUE,1
LEJ,1
SCN,1
STR,1
TXL,1
HAJ,1
BRE,1
QEF,1
HHN,1
MHG,1
EIB,1
SGE,1
XFW,1
KEL,1
LBC,1
ESS,1
BFE,1
MGL,1
PAD,1
DTM,1
AGB,1
OBF,1
RBM,1
FDH,1
SZW,1
BYU,1
URD,1
HOQ,1
ZQW,1
ZQL,1
BWE,1
KSF,1
BRV,1
EME,1
WVN,1
BMK,1
NRD,1
FLF,1
GWT,1
KDL,1
URE,1
EPU,1
TLL,1
TAY,1
ENF,1
KEV,1
HEM,1
HEL,1
HYV,1
KTQ,1
IVL,1
JOE,1
JYV,1
KAU,1
KEM,1
KAJ,1
KHJ,1
KOK,1
KAO,1
KTT,1
KUO,1
QLF,1
LPP,1
MHQ,1
MIK,1
OUL,1
POR,1
RVN,1
SVL,1
SOT,1
TMP,1
TKU,1
UTI,1
VAA,1
VRK,1
YLI,1
BFS,1
ENK,1
BHD,1
LDY,1
BHX,1
CVT,1
GLO,1
GBA,1
MAN,1
NQY,1
LYE,1
YEO,1
HAW,1
CWL,1
SWS,1
BRS,1
LPL,1
LTN,1
PLH,1
BOH,1
SOU,1
QLA,1
ACI,1
GCI,1
JER,1
ESH,1
BQH,1
LGW,1
LCY,1
FAB,1
BBS,1
LHR,1
SEN,1
LYX,1
MSE,1
CAX,1
BLK,1
HUY,1
BWF,1
LBA,1
WRT,1
CEG,1
IOM,1
NCL,1
MME,1
EMA,1
KOI,1
LSI,1
WIC,1
ABZ,1
INV,1
GLA,1
EDI,1
ILY,1
PIK,1
BEB,1
SCS,1
DND,1
SYY,1
TRE,1
ADX,1
LMO,1
CBG,1
NWI,1
STN,1
EXT,1
FZO,1
OXF,1
BEX,1
LKZ,1
MHZ,1
QUY,1
FFD,1
BZZ,1
ODH,1
NHT,1
QCY,1
BEQ,1
SQZ,1
HRT,1
WTN,1
KNF,1
MPN,1
AMS,1
MST,1
EIN,1
GRQ,1
GLZ,1
DHR,1
LEY,1
LWR,1
RTM,1
UTC,1
ENS,1
LID,1
WOE,1
ORK,1
GWY,1
DUB,1
NOC,1
KIR,1
SNN,1
SXL,1
WAT,1
AAR,1
BLL,1
CPH,1
EBJ,1
KRP,1
BYR,1
MRW,1
ODE,1
RKE,1
RNN,1
SGD,1
SKS,1
SQW,1
TED,1
FAE,1
STA,1
AAL,1
LUX,1
AES,1
ANX,1
ALF,1
BNN,1
BOO,1
BGO,1
BJF,1
KRS,1
DLD,1
BDU,1
EVE,1
VDB,1
FRO,1
OSL,1
HAU,1
HAA,1
KSU,1
KKN,1
FAN,1
MOL,1
MJF,1
LKL,1
NTB,1
OLA,1
RRS,1
RYG,1
LYR,1
SKE,1
SRP,1
SSJ,1
TOS,1
TRF,1
TRD,1
SVG,1
GDN,1
KRK,1
KTW,1
POZ,1
RZE,1
SZZ,1
OSP,1
WAW,1
WRO,1
IEG,1
RNB,1
GOT,1
JKG,1
LDK,1
GSE,1
KVB,1
THN,1
KSK,1
MXX,1
NYO,1
KID,1
OSK,1
KLR,1
MMX,1
HAD,1
VXO,1
EVG,1
GEV,1
HUV,1
KRF,1
LYC,1
SDL,1
OER,1
KRN,1
SFT,1
UME,1
VHM,1
AJR,1
ORB,1
VST,1
LLA,1
ARN,1
BMA,1
BLE,1
HLF,1
GVX,1
LPI,1
NRK,1
EKT,1
VBY,1
SPM,1
RMS,1
GHF,1
ZCN,1
FRZ,1
ZNF,1
KZG,1
FCN,1
GKE,1
RLG,1
WBG,1
WIE,1
FEL,1
IGS,1
GUT,1
ALJ,1
AGZ,1
BIY,1
BFN,1
CPT,1
DUR,1
ELS,1
FCB,1
GCJ,1
GRJ,1
HRS,1
HDS,1
JNB,1
KXE,1
KIM,1
KMH,1
KLZ,1
HLA,1
SDB,1
LAY,1
MGH,1
LLE,1
MZQ,1
NCS,1
OVG,1
OUH,1
PLZ,1
PBZ,1
PHW,1
JOH,1
PZB,1
NTY,1
PTG,1
PCF,1
UTW,1
RCB,1
ROD,1
SBU,1
ZEC,1
SIS,1
SZK,1
LTA,1
ULD,1
UTN,1
UTT,1
VRU,1
VIR,1
VRE,1
PRY,1
WKF,1
FRW,1
JWA,1
BBK,1
MUB,1
GBE,1
PKW,1
BZV,1
FTX,1
OUE,1
PNR,1
MTS,1
BGF,1
BBT,1
BSG,1
SSG,1
ASI,1
MRU,1
RRG,1
NKW,1
TKC,1
DLA,1
MVR,1
FOM,1
NGE,1
GOU,1
BFX,1
BPC,1
YAO,1
CGJ,1
LVI,1
LUN,1
MFU,1
MNR,1
NLA,1
KIW,1
HAH,1
NWA,1
AJN,1
DZA,1
RUN,1
ZSE,1
TNR,1
ZVA,1
SMS,1
TMM,1
MOQ,1
DIE,1
WMR,1
ZWA,1
AMB,1
ANM,1
HVA,1
MJN,1
NOS,1
BPY,1
WMN,1
SVB,1
VOH,1
WAI,1
IVA,1
FTU,1
WFI,1
RVA,1
WVK,1
MNJ,1
MXM,1
TLE,1
SSY,1
BUG,1
CAB,1
NOV,1
SVP,1
LAD,1
MEG,1
SPP,1
GXG,1
PBN,1
VHC,1
SZA,1
SDD,1
LUO,1
UGO,1
XGN,1
OYE,1
OKN,1
LBQ,1
BMM,1
POG,1
OMB,1
MKU,1
LBV,1
MVB,1
PCP,1
TMS,1
BEW,1
INH,1
VXC,1
LFB,1
MPM,1
MUD,1
MZB,1
MNC,1
APL,1
POL,1
UEL,1
TET,1
VNX,1
DES,1
SEZ,1
PRI,1
AEH,1
MQQ,1
NDJ,1
FYT,1
BUQ,1
BFO,1
VFA,1
HRE,1
KAB,1
UTA,1
MVZ,1
GWE,1
HWN,1
BLZ,1
KGJ,1
KBQ,1
LLW,1
ZZU,1
MSU,1
FIH,1
NLO,1
MNB,1
FDU,1
KKW,1
MDK,1
BDT,1
GMA,1
KLI,1
LIQ,1
FKI,1
IRP,1
BUX,1
BZU,1
BKY,1
GOM,1
KND,1
FBM,1
KWZ,1
FMI,1
KMN,1
KGA,1
MJM,1
BKO,1
GAQ,1
KYS,1
MZI,1
TOM,1
BJL,1
FUE,1
VDE,1
SPC,1
LPA,1
ACE,1
TFS,1
TFN,1
MLN,1
FNA,1
MLW,1
ROB,1
AGA,1
TTA,1
FEZ,1
ERH,1
MEK,1
OUD,1
GMD,1
RBA,1
CMN,1
RAK,1
NNA,1
OZZ,1
AHU,1
TTU,1
TNG,1
ZIG,1
CSK,1
KLC,1
DKR,1
XLS,1
BXE,1
KGG,1
TUD,1
AEO,1
TIY,1
KFA,1
EMN,1
KED,1
NKC,1
SEY,1
ATR,1
NDB,1
FIG,1
FAA,1
LEK,1
SID,1
BVC,1
MMO,1
SNE,1
VXE,1
ADD,1
AMH,1
AXU,1
BJR,1
DIR,1
GMB,1
GDQ,1
JIM,1
LLI,1
MQX,1
ASO,1
BJM,1
HGA,1
BBO,1
KMU,1
ALY,1
ABS,1
CAI,1
CWE,1
HRG,1
EGH,1
LXR,1
MUH,1
PSD,1
SKV,1
ASW,1
ELT,1
EDL,1
GGM,1
KIS,1
KTL,1
LOK,1
LAU,1
MBA,1
WIL,1
WJR,1
GHT,1
AKF,1
BEN,1
SEB,1
TIP,1
LMQ,1
HUQ,1
LTD,1
GYI,1
KGL,1
KME,1
DOG,1
RSS,1
ELF,1
KSL,1
KDX,1
EBD,1
JUB,1
MAK,1
KRT,1
ARK,1
DAR,1
DOD,1
IRI,1
JRO,1
LKY,1
MYW,1
MWZ,1
PMA,1
TGT,1
ZNZ,1
EBB,1
SRT,1
TIA,1
BOJ,1
GOZ,1
PDV,1
SOF,1
SZR,1
VAR,1
LCA,1
PFO,1
AKT,1
DBV,1
OSI,1
PUY,1
RJK,1
SPU,1
ZAG,1
ZAD,1
ABC,1
ALC,1
LEI,1
OVD,1
ODB,1
BIO,1
BCN,1
BJZ,1
LCG,1
GRO,1
GRX,1
IBZ,1
XRY,1
MJV,1
MAD,1
AGP,1
MAH,1
OZP,1
PNA,1
REU,1
ROZ,1
SLM,1
EAS,1
SCQ,1
LEU,1
TOJ,1
VLC,1
VLL,1
VIT,1
VGO,1
SDR,1
ZAZ,1
SVQ,1
CQF,1
BYF,1
LTQ,1
XVS,1
AGF,1
BOD,1
EGC,1
CNG,1
PIS,1
MCU,1
LIG,1
NIT,1
TLS,1
PUF,1
LDE,1
ANG,1
BVE,1
PGX,1
BIQ,1
ZAO,1
LBI,1
DCM,1
RDZ,1
RYN,1
XMW,1
RCO,1
CMR,1
DLE,1
OBS,1
LPY,1
ETZ,1
BIA,1
CLY,1
FSC,1
AJA,1
PRP,1
SOZ,1
AUF,1
CMF,1
CFE,1
BOU,1
QNJ,1
LYS,1
SYT,1
RNE,1
NCY,1
GNB,1
VAF,1
VHY,1
AUR,1
CHR,1
LYN,1
CEQ,1
EBU,1
CCF,1
MRS,1
NCE,1
XOG,1
PGF,1
CTT,1
MPL,1
BZR,1
AVN,1
MEN,1
BVA,1
EVX,1
LEH,1
XAB,1
ORE,1
XCR,1
URO,1
TUF,1
CET,1
LVA,1
LBG,1
CSF,1
CDG,1
TNF,1
ORY,1
POX,1
VIY,1
NVS,1
XME,1
LIL,1
HZB,1
XCZ,1
BES,1
CER,1
DNR,1
LBY,1
GFR,1
DOL,1
LRT,1
EDM,1
LDV,1
CFR,1
LME,1
RNS,1
LAI,1
UIP,1
NTE,1
SBK,1
MXN,1
VNE,1
SNR,1
BSL,1
DIJ,1
MZM,1
EPL,1
ENC,1
RHE,1
SXB,1
TLN,1
FNI,1
MQC,1
FSP,1
PYR,1
AGQ,1
AXD,1
VOL,1
JKH,1
IOA,1
HER,1
KSO,1
KIT,1
EFL,1
KLX,1
KGS,1
AOK,1
CFU,1
KSJ,1
KVA,1
KZI,1
LRS,1
LXS,1
LRA,1
JMK,1
MJT,1
PVK,1
RHO,1
GPA,1
CHQ,1
JSI,1
SMI,1
SPJ,1
JTR,1
JSH,1
SKU,1
SKG,1
ZTH,1
BUD,1
DEB,1
CRV,1
BRI,1
FOG,1
TAR,1
LCC,1
PSR,1
BDS,1
SUF,1
CTA,1
LMP,1
PNL,1
PMO,1
REG,1
TPS,1
NSY,1
AHO,1
DCI,1
CAG,1
OLB,1
TTB,1
MXP,1
BGY,1
TRN,1
ALL,1
GOA,1
LIN,1
PMF,1
CUF,1
AVB,1
BZO,1
BLQ,1
TSF,1
FRL,1
VBS,1
TRS,1
RMI,1
VIC,1
QPA,1
VRN,1
VCE,1
SAY,1
CIA,1
FCO,1
EBA,1
QLT,1
NAP,1
PSA,1
FLR,1
GRS,1
PEG,1
LJU,1
MBX,1
POW,1
UHE,1
KLV,1
OSR,1
PED,1
PRV,1
PRG,1
BRQ,1
VOD,1
TLV,1
BEV,1
ETH,1
EIY,1
HFA,1
RPN,1
MTZ,1
VTM,1
VDA,1
MIP,1
SDV,1
MLA,1
GRZ,1
INN,1
LNZ,1
SZG,1
VIE,1
AVR,1
SMA,1
BGC,1
BYJ,1
BGZ,1
CAT,1
FLW,1
FAO,1
GRW,1
HOR,1
TER,1
QLR,1
PDL,1
PIX,1
PRM,1
OPO,1
PXO,1
LIS,1
SJZ,1
VRL,1
VSE,1
OMO,1
SJJ,1
ARW,1
BCM,1
BAY,1
BBU,1
CND,1
CLJ,1
CSB,1
CRA,1
IAS,1
OMR,1
OTP,1
SBZ,1
SUJ,1
SCV,1
TCE,1
TGM,1
TSR,1
GVA,1
SIR,1
EML,1
LUG,1
BRN,1
ZHI,1
ZRH,1
ACH,1
SMV,1
ESB,1
ANK,1
ADA,1
UAB,1
AFY,1
AYT,1
GZT,1
KYA,1
MZH,1
VAS,1
MLX,1
ASR,1
TJK,1
DNZ,1
IST,1
BZI,1
BDM,1
ESK,1
ADB,1
IGL,1
KCO,1
DLM,1
BXN,1
EZS,1
DIY,1
ERC,1
ERZ,1
TZX,1
VAN,1
BAL,1
SXZ,1
BZY,1
KIV,1
OHD,1
SKP,1
GIB,1
BEG,1
INI,1
TGD,1
PRN,1
TIV,1
BTS,1
KSC,1
PZY,1
SLD,1
TAT,1
NCA,1
PLS,1
XSC,1
BRX,1
CBJ,1
LRM,1
PUJ,1
POP,1
SDQ,1
STI,1
CBV,1
GUA,1
RER,1
GSJ,1
LCE,1
SAP,1
GJA,1
RTB,1
TEA,1
TGU,1
TJI,1
OCJ,1
KIN,1
MBJ,1
POT,1
KTP,1
ACA,1
NTR,1
AGU,1
HUX,1
CVJ,1
ACN,1
CME,1
NCG,1
CUL,1
CTM,1
CEN,1
CPE,1
CJS,1
CUU,1
CVM,1
CZM,1
DGO,1
TPQ,1
ESE,1
GDL,1
GYM,1
TCN,1
HMO,1
CLQ,1
ISJ,1
SLW,1
IZT,1
LZC,1
LMM,1
BJX,1
LAP,1
LTO,1
MAM,1
MID,1
MXL,1
MLM,1
MTT,1
LOV,1
MEX,1
MTY,1
MZT,1
NOG,1
NLD,1
OAX,1
PAZ,1
PBC,1
PPE,1
PDS,1
UPN,1
PVR,1
PXM,1
QRO,1
REX,1
SJD,1
SFH,1
SLP,1
TRC,1
TGZ,1
TIJ,1
TAM,1
TSL,1
TLC,1
TAP,1
CUN,1
VSA,1
VER,1
ZCL,1
ZIH,1
ZMM,1
ZLO,1
BEF,1
MGA,1
PUZ,1
BOC,1
CHX,1
DAV,1
BLB,1
PAC,1
SYP,1
PTY,1
BAI,1
OTR,1
JAP,1
GLF,1
GPL,1
LIR,1
LSL,1
LIO,1
NOB,1
SJO,1
PMZ,1
XQP,1
TOO,1
SAL,1
CYA,1
CAP,1
JAK,1
PAP,1
BCA,1
BYM,1
AVI,1
CCC,1
CFG,1
CYO,1
CMW,1
SCU,1
NBW,1
GAO,1
HAV,1
HOG,1
LCL,1
MOA,1
MZO,1
GER,1
UPB,1
QPD,1
SNU,1
SZJ,1
USS,1
VRA,1
VTU,1
CYB,1
GCM,1
MAY,1
ASD,1
MHH,1
SAQ,1
AXP,1
TCB,1
CCZ,1
GHC,1
BIM,1
GGT,1
ELH,1
GHB,1
NMC,1
RSD,1
TYM,1
FPO,1
IGA,1
LGI,1
SML,1
MYG,1
NAS,1
DCT,1
RCY,1
ZSA,1
BZE,1
AIT,1
RAR,1
NAN,1
SUV,1
TBU,1
VAV,1
TRW,1
TBF,1
WLS,1
APW,1
PPG,1
RUR,1
TUB,1
AAA,1
FGU,1
TIH,1
REA,1
FAV,1
XMH,1
GMR,1
KKR,1
MKP,1
PKP,1
TKP,1
AXR,1
MVT,1
TKX,1
NHV,1
BOB,1
RGI,1
HUH,1
MOZ,1
HOI,1
MAU,1
RFP,1
VLI,1
KNQ,1
KOC,1
LIF,1
GEA,1
MEE,1
TOU,1
UVE,1
NOU,1
AKL,1
TUO,1
AMZ,1
CHC,1
CHT,1
DUD,1
GIS,1
GTN,1
HKK,1
HLZ,1
KKE,1
KAT,1
ALR,1
MON,1
TEU,1
MRO,1
NPL,1
NSN,1
IVC,1
OHA,1
OAM,1
PMR,1
PPQ,1
ZQN,1
ROT,1
TRG,1
TIU,1
TWZ,1
BHE,1
WKA,1
WHK,1
WLG,1
WIR,1
WRE,1
WSZ,1
WAG,1
HEA,1
JAA,1
KBL,1
KDH,1
MMZ,1
MZR,1
OAH,1
UND,1
BAH,1
AHB,1
HOF,1
ABT,1
BHH,1
DMM,1
DHA,1
GIZ,1
ELQ,1
URY,1
HAS,1
QJB,1
JED,1
KMC,1
MED,1
EAM,1
AQI,1
RAH,1
RUH,1
RAE,1
SHW,1
SLF,1
TUU,1
TIF,1
TUI,1
EJH,1
YNB,1
ABD,1
DEF,1
AKW,1
GCH,1
OMI,1
MRX,1
AWZ,1
AEU,1
BUZ,1
KIH,1
BDH,1
KHK,1
SXI,1
LVP,1
KSH,1
SDG,1
IFH,1
IFN,1
RAS,1
AJK,1
THR,1
GZW,1
BND,1
JYR,1
KER,1
HDR,1
SYJ,1
XBJ,1
CKT,1
RUD,1
TCX,1
KLM,1
RZR,1
FAZ,1
JAR,1
LFM,1
SYZ,1
KHY,1
TBZ,1
JWN,1
AZD,1
ACZ,1
ZBR,1
ZAH,1
IHR,1
AMM,1
ADJ,1
AQJ,1
OMF,1
KWI,1
BEY,1
KYE,1
AUH,1
AZI,1
DHF,1
DXB,1
FJR,1
RKT,1
SHJ,1
KHS,1
MSH,1
MCT,1
SLL,1
TTH,1
BHW,1
LYP,1
GWD,1
GIL,1
JAG,1
KHI,1
LHE,1
XJM,1
MFG,1
MWD,1
MJD,1
MUX,1
WNS,1
PJG,1
PSI,1
PEW,1
UET,1
RYK,1
RAZ,1
SKZ,1
SDT,1
SUL,1
BDN,1
WAF,1
PZH,1
BSR,1
ALP,1
DAM,1
DEZ,1
LTK,1
PMS,1
CIS,1
ROP,1
SPN,1
UAM,1
GUM,1
TIQ,1
MAJ,1
KWA,1
CXI,1
MDY,1
TKK,1
PNI,1
ROR,1
KSA,1
YAP,1
KNH,1
TTT,1
GNI,1
KHH,1
CYI,1
KYD,1
RMQ,1
TNN,1
HSZ,1
MZG,1
PIF,1
TSA,1
TPE,1
WOT,1
HUN,1
NRT,1
MMJ,1
IBR,1
MUS,1
IWO,1
SHM,1
OBO,1
CTS,1
HKD,1
MMB,1
SHB,1
WKJ,1
IKI,1
UBJ,1
TSJ,1
MBE,1
AKJ,1
OIR,1
RIS,1
KUM,1
FUJ,1
FUK,1
TNE,1
KOJ,1
KMI,1
OIT,1
KKJ,1
KMJ,1
NGS,1
ASJ,1
OKE,1
TKN,1
FKJ,1
QGU,1
KMQ,1
OKI,1
TOY,1
HIJ,1
OKJ,1
IZO,1
YGJ,1
KCZ,1
MYJ,1
ITM,1
TTJ,1
TKS,1
TAK,1
AOJ,1
GAJ,1
SDS,1
HHE,1
HNA,1
AXT,1
MSJ,1
SDJ,1
NJA,1
HAC,1
OIM,1
HND,1
OKO,1
KWJ,1
CHN,1
RSU,1
KAG,1
CJU,1
CHF,1
PUS,1
USN,1
SSN,1
OSN,1
GMP,1
SWU,1
KPO,1
TAE,1
YEC,1
OKA,1
DNA,1
ISG,1
UEO,1
MMD,1
MMY,1
KTD,1
SHI,1
TRA,1
RNJ,1
OGN,1
MNL,1
CBO,1
PAG,1
GES,1
ZAM,1
BAG,1
DTE,1
SJI,1
MBO,1
BQA,1
TAC,1
BCD,1
DGT,1
MPH,1
ILO,1
KLO,1
PPS,1
EUQ,1
COC,1
GHU,1
JNI,1
PRA,1
ROS,1
SFN,1
AEP,1
COR,1
FDO,1
LPG,1
EPA,1
HOS,1
GNR,1
MDZ,1
LGS,1
AFA,1
CTC,1
SDE,1
IRJ,1
TUC,1
UAQ,1
RCU,1
VDR,1
VME,1
LUQ,1
CNQ,1
RES,1
FMA,1
IGR,1
AOL,1
MCS,1
PSS,1
SLA,1
JUJ,1
ORA,1
ELO,1
OYA,1
RCQ,1
UZU,1
EHL,1
CRD,1
EQS,1
REL,1
VDM,1
PMY,1
PUD,1
RGA,1
RGL,1
USH,1
ULA,1
PMQ,1
RZA,1
BHI,1
CSZ,1
OVR,1
GPO,1
OYO,1
MDQ,1
NQN,1
PEH,1
RSA,1
BRC,1
TDL,1
VLG,1
CUT,1
CPC,1
CDJ,1
AQA,1
AJU,1
AFL,1
ARU,1
BEL,1
BGX,1
PLU,1
BFH,1
BSB,1
BAU,1
BVB,1
BPG,1
CAC,1
CNF,1
CGR,1
XAP,1
CLN,1
CCM,1
CAW,1
CMG,1
CWB,1
CRQ,1
CXJ,1
CGB,1
CZS,1
PPB,1
MAO,1
JCR,1
IGU,1
FLN,1
FEN,1
FOR,1
GIG,1
GJM,1
GYN,1
GRU,1
GUJ,1
ATM,1
ITA,1
ITB,1
IOS,1
IPN,1
ITR,1
IMP,1
JDF,1
JPA,1
JOI,1
CPV,1
VCP,1
LAJ,1
LIP,1
LDB,1
LAZ,1
MAB,1
MEU,1
MGF,1
MOC,1
PLL,1
MCZ,1
MCP,1
MVF,1
MNX,1
NVT,1
GEL,1
NAT,1
OYK,1
POA,1
PHB,1
POO,1
PFB,1
PET,1
PNZ,1
PNB,1
PMG,1
PVH,1
RBR,1
REC,1
SDU,1
RAO,1
SNZ,1
SJK,1
SLZ,1
CGH,1
SJP,1
SSZ,1
SSA,1
TMT,1
THE,1
TFF,1
TRQ,1
TEC,1
TBT,1
TUR,1
SJL,1
